"method","runtime_sec","mean_n_cps","precision","recall","f1","mae_cp","iou"
"wearable_pelt",0.00486000000000558,7.52,0.236702127659574,0.445,0.309027777777778,1.17977528089888,0
"changepoint_pelt",0.000499999999992724,2.9,0.489655172413793,0.355,0.411594202898551,0.985915492957746,0
"wearable_ediv",8.45171999999999,5.9,0.247457627118644,0.365,0.294949494949495,1.02739726027397,0
"ecp_ediv",0.614659999999992,6.18,0.245954692556634,0.38,0.298624754420432,4.4078947368421,0
